,Model,1.5,2,3,4,Base
53,KACE-1-0-G_ssp245_r2i1p1f1,2022.0,2034.0,2069.0,,14.871730000000014
87,KACE-1-0-G_ssp370_r2i1p1f1,2022.0,2033.0,2059.0,2081.0,14.871728515625023
121,KACE-1-0-G_ssp585_r2i1p1f1,2021.0,2031.0,2053.0,2072.0,14.871728515625023
20,KIOST-ESM_ssp126_r1i1p1f1,2039.0,,,,13.869470000000035
54,KIOST-ESM_ssp245_r1i1p1f1,2031.0,2057.0,,,13.869470000000035
122,KIOST-ESM_ssp585_r1i1p1f1,2030.0,2047.0,2072.0,,13.869470214843716
22,MIROC-ES2L_ssp126_r1i1p1f2,2030.0,,,,15.650350000000003
56,MIROC-ES2L_ssp245_r1i1p1f2,2030.0,2051.0,,,15.650354003906273
90,MIROC-ES2L_ssp370_r1i1p1f2,2030.0,2048.0,2079.0,,15.650354003906273
124,MIROC-ES2L_ssp585_r1i1p1f2,2028.0,2042.0,2065.0,2087.0,15.650354003906273
1,MIROC6_ssp126_r1i1p1f1,2037.0,,,,15.857720000000029
35,MIROC6_ssp245_r1i1p1f1,2034.0,2058.0,,,15.857720000000029
69,MIROC6_ssp370_r1i1p1f1,2035.0,2051.0,2083.0,,15.857720947265648
102,MIROC6_ssp585_r1i1p1f1,2032.0,2047.0,2072.0,2090.0,15.857720947265648
89,MPI-ESM-1-2-HAM_ssp370_r1i1p1f1,2030.0,2045.0,,,14.223718261718773
24,MPI-ESM1-2-HR_ssp126_r1i1p1f1,2038.0,,,,14.760829999999999
58,MPI-ESM1-2-HR_ssp245_r1i1p1f1,2037.0,2062.0,,,14.760827636718773
92,MPI-ESM1-2-HR_ssp370_r1i1p1f1,2034.0,2050.0,2081.0,,14.760827636718773
126,MPI-ESM1-2-HR_ssp585_r1i1p1f1,2032.0,2049.0,2074.0,,14.760827636718773
2,MPI-ESM1-2-LR_ssp126_r1i1p1f1,2045.0,,,,14.41805000000005
36,MPI-ESM1-2-LR_ssp245_r1i1p1f1,2038.0,2062.0,,,14.41805000000005
70,MPI-ESM1-2-LR_ssp370_r1i1p1f1,2037.0,2053.0,2080.0,,14.418054199218773
103,MPI-ESM1-2-LR_ssp585_r1i1p1f1,2036.0,2050.0,2073.0,,14.418054199218773
13,MRI-ESM2-0_ssp126_r1i1p1f1,2025.0,2057.0,,,14.447320000000047
47,MRI-ESM2-0_ssp245_r1i1p1f1,2026.0,2044.0,,,14.447320000000047
82,MRI-ESM2-0_ssp370_r1i1p1f1,2026.0,2043.0,2070.0,,14.447320556640648
114,MRI-ESM2-0_ssp585_r1i1p1f1,2023.0,2035.0,2061.0,2081.0,14.447320556640648
8,NorESM2-LM_ssp126_r1i1p1f1,2056.0,,,,15.090020000000038
42,NorESM2-LM_ssp245_r1i1p1f1,2040.0,2067.0,,,15.090020000000038
77,NorESM2-LM_ssp370_r1i1p1f1,2041.0,2059.0,2088.0,,15.090020751953148
109,NorESM2-LM_ssp585_r1i1p1f1,2034.0,2050.0,2073.0,,15.090020751953148
3,NorESM2-MM_ssp126_r1i1p1f1,2033.0,,,,14.365260000000035
37,NorESM2-MM_ssp245_r1i1p1f1,2036.0,2053.0,,,14.365260000000035
71,NorESM2-MM_ssp370_r1i1p1f1,2035.0,2051.0,2081.0,,14.365258789062523
104,NorESM2-MM_ssp585_r1i1p1f1,2031.0,2044.0,2069.0,2088.0,14.365258789062523
14,TaiESM1_ssp126_r1i1p1f1,2020.0,2031.0,2078.0,,14.409270000000049
48,TaiESM1_ssp245_r1i1p1f1,2023.0,2034.0,2059.0,,14.409270000000049
83,TaiESM1_ssp370_r1i1p1f1,2024.0,2036.0,2056.0,2074.0,14.409265136718773
115,TaiESM1_ssp585_r1i1p1f1,2021.0,2031.0,2047.0,2062.0,14.409265136718773
15,UKESM1-0-LL_ssp126_r1i1p1f2,2020.0,2032.0,,,14.076200000000028
50,UKESM1-0-LL_ssp245_r1i1p1f2,2021.0,2031.0,2054.0,2085.0,14.076200000000028
84,UKESM1-0-LL_ssp370_r1i1p1f2,2020.0,2029.0,2048.0,2067.0,14.076196289062523
117,UKESM1-0-LL_ssp585_r1i1p1f2,2021.0,2029.0,2045.0,2058.0,14.076196289062523
